_op,ScheduleAcademicDayLocalId,AcademicDayName,Organisation.RefId,Schedule.LocalId,BellSchedule.LocalId,PeriodList.Period.LocalId
upsert,8007_Day_A,Day A,8007,8007_Sched_2020,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5"
upsert,8007_Day_B,Day B,8007,8007_Sched_2020,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5"
upsert,8007_Day_C,Day C,8007,8007_Sched_2020,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5"
upsert,8007_Day_D,Day D,8007,8007_Sched_2020,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5"
upsert,8007_Day_E,Day E,8007,8007_Sched_2020,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5"
upsert,8007_Day_F,Day F,8007,8007_Sched_2020,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5"
upsert,8008_Day_A,Day A,8008,8008_Sched_2020,8008_Regular,"8008_HR,8008_P1,8008_P2,8008_P3,8008_P4,8008_P5"
upsert,8008_Day_B,Day B,8008,8008_Sched_2020,8008_Regular,"8008_HR,8008_P1,8008_P2,8008_P3,8008_P4,8008_P5"
upsert,8008_Day_C,Day C,8008,8008_Sched_2020,8008_Regular,"8008_HR,8008_P1,8008_P2,8008_P3,8008_P4,8008_P5"
upsert,8008_Day_D,Day D,8008,8008_Sched_2020,8008_Regular,"8008_HR,8008_P1,8008_P2,8008_P3,8008_P4,8008_P5"
upsert,8008_Day_E,Day E,8008,8008_Sched_2020,8008_Regular,"8008_HR,8008_P1,8008_P2,8008_P3,8008_P4,8008_P5"
upsert,8008_Day_F,Day F,8008,8008_Sched_2020,8008_Regular,"8008_HR,8008_P1,8008_P2,8008_P3,8008_P4,8008_P5"
upsert,8005_Normal,Normal,8005,8005_Sched_2020,8005_Regular,"8005_AM,8005_PM"
upsert,8006_Normal,Normal,8006,8006_Sched_2020,8005_Regular,"8006_AM,8006_PM"
